Date;Price;StopLimit;Margin;Diff
2017-09-05 17:34:41;0;LTC;72.00000;69.5;2.50000
2017-09-05 17:35:12;0;LTC;72.00000;69.5;2.50000
2017-09-05 17:35:43;0;LTC;72.00000;69.5;2.50000
2017-09-05 17:36:15;0;LTC;71.66100;69.5;2.16100
2017-09-05 17:36:46;0;LTC;71.66100;69.5;2.16100
2017-09-05 17:37:18;0;LTC;71.66100;69.5;2.16100
2017-09-05 17:37:49;0;LTC;71.67000;69.5;2.17000
2017-09-05 17:38:20;0;LTC;71.44200;69.5;1.94200
2017-09-05 17:38:52;0;LTC;71.30000;69.5;1.80000
2017-09-05 17:39:25;0;LTC;71.21000;69.5;1.71000
2017-09-05 17:39:56;0;LTC;71.28000;69.5;1.78000
2017-09-05 17:40:28;0;LTC;71.20000;69.5;1.70000
2017-09-05 17:41:00;0;LTC;71.20000;69.5;1.70000
2017-09-05 17:41:31;0;LTC;71.20000;69.5;1.70000
2017-09-05 17:42:03;0;LTC;71.05000;69.5;1.55000
2017-09-05 17:42:35;0;LTC;71.05000;69.5;1.55000
2017-09-05 17:43:06;0;LTC;71.05000;69.5;1.55000
2017-09-05 17:43:37;0;LTC;71.00000;69.5;1.50000
2017-09-05 17:44:09;0;LTC;70.80000;69.5;1.30000
2017-09-05 17:44:40;0;LTC;70.80060;69.5;1.30060
2017-09-05 17:45:12;0;LTC;70.80060;69.5;1.30060
2017-09-05 17:45:44;0;LTC;70.81000;69.5;1.31000
2017-09-05 17:46:15;0;LTC;70.80000;69.5;1.30000
2017-09-05 17:46:47;0;LTC;70.99000;69.5;1.49000
2017-09-05 17:47:18;0;LTC;71.17980;69.5;1.67980
2017-09-05 17:47:50;0;LTC;71.18000;69.5;1.68000
2017-09-05 17:48:21;0;LTC;70.50010;69.5;1.00010
2017-09-05 17:48:51;0;LTC;71.15900;69.5;1.65900
2017-09-05 17:49:23;0;LTC;70.51000;69.5;1.01000
2017-09-05 17:49:53;0;LTC;71.15900;69.5;1.65900
2017-09-05 17:50:25;0;LTC;71.15900;69.5;1.65900
2017-09-05 17:50:56;0;LTC;71.16900;69.5;1.66900
2017-09-05 17:51:28;0;LTC;71.22000;69.5;1.72000
2017-09-05 17:51:59;0;LTC;71.22000;69.5;1.72000
2017-09-05 17:52:29;0;LTC;72.00000;69.5;2.50000
2017-09-05 17:53:00;0;LTC;70.68000;69.5;1.18000
2017-09-05 17:53:30;0;LTC;70.68000;69.5;1.18000
